id,action,value,created_at,user_id
2386,เพิ่มเข้าตะกร้า,ไก่ย่าง,2018-02-28 10:49:48.573117+00,105
2387,เพิ่มเข้าตะกร้า,ไก่ย่าง,2018-02-28 10:49:48.70667+00,105
2388,เพิ่มเข้าตะกร้า,ตับไก่,2018-02-28 10:49:57.139862+00,105
2389,enter,โต้รุ่ง checkout,2018-02-28 10:50:11.59155+00,105
2390,enter,home,2018-02-28 10:50:46.060456+00,105
2391,enter,โรงอาหารโต้รุ่ง,2018-02-28 10:50:48.728486+00,105
2392,enter_store,ผัดไท หอยทอด ราดหน้า,2018-02-28 10:50:57.937078+00,105
2393,เพิ่มเข้าตะกร้า,ผัดไทหมี่กรอบหมู,2018-02-28 10:51:14.079173+00,105
2394,enter,home,2018-02-28 10:51:52.998219+00,105
2395,enter,โรงอาหารโต้รุ่ง,2018-02-28 10:51:57.59644+00,105
2396,enter_store,น้องแนนหมูปิ้ง,2018-02-28 10:52:10.899874+00,105
2397,เพิ่มเข้าตะกร้า,หมูปิ้ง,2018-02-28 10:52:15.604428+00,105
2398,เพิ่มเข้าตะกร้า,ปีกไก่,2018-02-28 10:52:37.779141+00,105
2399,เพิ่มเข้าตะกร้า,ข้าวเหนียว,2018-02-28 10:52:46.610338+00,105
2400,enter,โต้รุ่ง checkout,2018-02-28 10:53:25.991781+00,105
2401,search_input,หมูปิ้ง,2018-02-28 10:55:00.785317+00,105
2402,enter_store,น้องแนนหมูปิ้ง,2018-02-28 10:55:10.398072+00,105
2403,enter,home,2018-02-28 10:55:29.908123+00,81
2404,enter,โรงอาหารโต้รุ่ง,2018-02-28 10:55:39.140918+00,81
2405,enter_store,ข้าวยำไก่ย่าง ข้าวมันไก่ 2 สี,2018-02-28 10:56:07.327455+00,81
2406,enter_store,ข้าวหน้าเป็ด-ข้าวหมูแดง-ข้าวหมูกรอบ,2018-02-28 10:56:14.499488+00,81
2407,เพิ่มเข้าตะกร้า,ข้าวหมูแดง,2018-02-28 10:56:30.81933+00,81
2408,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม,2018-02-28 10:56:56.327232+00,81
2409,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม,2018-02-28 10:57:04.974887+00,81
2410,enter_store,ตำยำย่าง อาหารอีสาน ลาบยโส,2018-02-28 10:57:28.58244+00,81
2411,enter_store,เครื่องดื่ม ยำผลไม้ ผลไม,2018-02-28 10:58:00.232813+00,81
2412,enter_store,ปังเย็น,2018-02-28 10:58:12.128709+00,81
2413,เพิ่มเข้าตะกร้า,นมปั่นโอริโอ้,2018-02-28 10:58:20.304755+00,81
2414,enter_store,สมใจ ลูกชิ้นทอด,2018-02-28 10:58:35.398529+00,81
2415,เพิ่มเข้าตะกร้า,ไส้กรอกพันเบค่อน,2018-02-28 10:58:54.486319+00,81
2416,เพิ่มเข้าตะกร้า,ไส้กรอกพันเบค่อน,2018-02-28 10:58:56.516275+00,81
2417,enter,โต้รุ่ง checkout,2018-02-28 10:59:03.348779+00,81
2418,ใช้โค้ด,37,2018-02-28 10:59:44.618416+00,81
2419,สั่งอาหาร,115,2018-02-28 11:00:16.622735+00,81
2420,enter,home,2018-02-28 11:00:42.580347+00,81
2422,enter,home,2018-02-28 11:05:58.271341+00,52
2423,enter,โรงอาหารโต้รุ่ง,2018-02-28 11:06:02.536665+00,52
2424,enter_store,อาหารอิสลาม Halal Food,2018-02-28 11:06:08.908878+00,52
2425,เพิ่มเข้าตะกร้า,ต้มจืดเต้าหู้ไก่สับ,2018-02-28 11:06:21.569882+00,52
2426,enter,โต้รุ่ง checkout,2018-02-28 11:06:25.91851+00,52
2427,สั่งอาหาร,116,2018-02-28 11:07:31.212466+00,52
2428,enter,home,2018-02-28 11:07:48.239811+00,52
2429,enter,home,2018-02-28 11:27:55.950775+00,18
2430,enter,home,2018-02-28 11:30:12.106876+00,18
9444,enter,home,2018-04-17 04:18:17.519598+00,66
2432,enter,home,2018-02-28 11:36:00.284494+00,63
2433,enter,โรงอาหารโต้รุ่ง,2018-02-28 11:38:49.993507+00,63
2434,enter_store,ร้านอาหารตามสั่งอิ่มอร่อย,2018-02-28 11:39:43.81651+00,63
2436,เพิ่มเข้าตะกร้า,ข้าวยำหมูย่าง,2018-02-28 11:41:21.600876+00,63
2437,enter,โต้รุ่ง checkout,2018-02-28 11:41:42.473767+00,63
2438,กรอกประวัติความหิว,NichakanNuroon,2018-02-28 11:43:05.210816+00,63
2439,enter,home,2018-02-28 11:43:22.41686+00,63
2440,enter,โรงอาหารโต้รุ่ง,2018-02-28 11:44:33.302051+00,63
2441,enter,โต้รุ่ง checkout,2018-02-28 11:44:45.271157+00,63
2442,enter_store,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,2018-02-28 11:45:25.904217+00,63
2443,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-28 11:46:54.617956+00,63
2444,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-28 11:46:57.88785+00,63
2445,enter,โต้รุ่ง checkout,2018-02-28 11:47:13.893702+00,63
2446,enter,โต้รุ่ง checkout,2018-02-28 11:47:24.033294+00,63
2447,เพิ่มเข้าตะกร้า,"ข้าวราดผัดพริกแกงหมู,หมูกรอบ,แหนม,ไก่,ปลาเค็ม",2018-02-28 11:47:45.804068+00,63
2448,enter,โต้รุ่ง checkout,2018-02-28 11:47:54.709121+00,63
